author,like_count,text
@brunaneres122,0,um misto de sentimentos
@ahmadg3822,0,I wish I could experience this song for one time.
@varnitgarg9095,0,2024 anyone? Till the end
@_Foggyhead,0,okay i want to thank him for sharing this song!!!
@Atodaleche,0,Poco se habla del buen acting de los protagonistas
@masteryodab4619,0,Rod Wave brought me here
@arimakesfilm,0,"one day , me and my girl .❤"
@alexnunzn,0,"Se ve que ella abandona su cuerpo y ve lo que ocurre si lo sigue. La vida que le esperaba. Al contrario se queda, se casa, tiene un hijo, trabaja de taxista y se arrepiente toda su vida de no haberse ido con el en esa oportunidad. Amo estas canciones. ❤"
@dzikieswinie,1,Spectacular
@user-ul4kq4xl8n,0,"Pack yourself a toothbrush, dear<br>Pack yourself a favorite blouse<br>Take a withdrawal slip<br>Take all of your savings out<br>&#39;Cause if we don&#39;t leave this town<br>We might never make it out<br>I was not born to drown<br>Baby come on<br><br>Forget what Father Brennan said<br>We were not born in sin<br>Leave a note on your bed<br>Let your mother know you&#39;re safe<br>And by the time she wakes<br>We&#39;ll have driven through the state<br>We&#39;ll have driven through the night<br>Baby come on<br><br>If the sun don&#39;t shine on me today<br>And if the subways flood and bridges break<br>Will you lay yourself down and dig your grave<br>Or will you rail against your dying day<br><br>And when we looked outside, couldn&#39;t even see the sky<br>How do you pay the rent, is it your parents<br>Or is it hard work dear, holding the atmosphere?<br>I don&#39;t wanna live like that<br><br>If the sun don&#39;t shine on me today<br>If the subways flood and the bridges break<br><br>Jesus Christ can&#39;t save me tonight<br>Put on your dress, yes wear something nice<br>Decide on me, yeah decide on us<br>Oh, oh, oh, Illinois, Illinois<br><br>Pack yourself a toothbrush, dear<br>Pack yourself a favorite blouse<br>Take a withdrawal slip<br>Take all of your savings out<br>&#39;Cause if we don&#39;t leave this town<br>We might never make it out"
@dineshmiriyala8001,0,wholesome :(
@dloyi,0,Don't know why this music made tears roll into my eyes
@michaelbourdon9699,0,This was my wife and i first dance.
@aputokinimi5811,1,Please remind me by liking this comment.
@francescafiorinilara9164,0,"<a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/NvgfY9aeC_OFvOMPkrOAsAM""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/b8IfY7zOK9iVkNAP_I2A-AY""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/7cIfY5niDOmSkNAP08CA6A4""></a>"
@coolcud07,0,Remind me to take my toothbrush with me
@ofremv,0,.
@malita8,0,"LYRICS:<br>Pack yourself a toothbrush, dear<br>Pack yourself a favorite blouse<br>Take a withdrawal slip<br>Take all of your savings out<br>&#39;Cause if we don&#39;t leave this town<br>We might never make it out<br>I was not born to drown<br>Baby, come on<br>Forget what Father Brennan said<br>We were not born in sin<br>Leave a note on your bed<br>Let your mother know you&#39;re safe<br>And by the time she wakes<br>We&#39;ll have driven through the state<br>We&#39;ll have driven through the night<br>Baby, come on<br>If the sun don&#39;t shine on me today<br>And if the subways flood and bridges break<br>Will you lay yourself down and dig your grave<br>Or will you rail against the dying day?<br>And when we looked outside<br>Couldn&#39;t even see the sky<br>How do you pay the rent?<br>Is it your parents?<br>Or is hard work, dear<br>Holding the atmosphere?<br>I don&#39;t wanna live like that, yeah<br>If the sun don&#39;t shine on me today<br>If the subways flood and the bridges break<br>Jesus Christ can&#39;t save me tonight<br>Put on your dress, yes, wear something nice<br>Decide on me, yeah, decide on us<br>Oh, oh, oh, Illinois, Illinois<br>Pack yourself a toothbrush, dear<br>Pack yourself a favorite blouse<br>Take a withdrawal slip<br>Take all of your savings out<br>&#39;Cause if we don&#39;t leave this town<br>We might never make it out<br><br>Source: LyricFind"
@jasongautrey455,0,I absolutely adore the video this is a dream of mine to do to drive and no matter where it takes me just run away and have a adventure of a life time
@markwincostante5579,0,"I had a feeling of longing and of wanting a person so badly, and this song simply reminds me the moment we knew each other was the moment where the entire universe conspired to help me find this person. We might never have the chance to be together for sure, he will always have a special place  in my heart. I am  forever his avid fan. Cheering from afar, screaming and rooting for all the best things in his life. &lt;3 <br><br>-Love from Philippines..."
@chelsnola5689,0,Oh my heart ❤️
@LennySchlicher,0,"A good friend showed me this while we were in eight grade. I learned a lot due to him. He showed me how to be gentle to other people and be more empathic. Thank you dude, hope youre well."
@sanjivkhatri6998,0,Isn&#39;t that Sandy from the Gallagarviches house of SHAMELESS. 😂😂😂😂😂
@inlovewithminatozaki7679,1,"here i go,, when i was in august or maybe september, i have started to want to A dream. My dream university and my dream city. Yeah from that point, i have studied a lot, when i was studying, i was listening this song and ofc it motivated me. Even if sometimes i felt bad, i just kept going on. so basically there are 3-4 days left for me to get this dream. Contrary to everyone, i feel no stress, have no anxiety. I know i have done things which i can do and i have no regret inside me. I know im already got this dream. Stay with love and love yourself so much"
@Gramz4855,0,Gangstered song ever jk came along way from playing in the kitchen ♥️
@cjmusic_,1,Idk why but every time I hear this song I just want to pack my bags and go on a trip!
@okangp7516,3,"The last part was sad, cause that was just a dream. She never made it out..."
@stephaniefernandezcuellar1793,1,Siempre será mi canción 😢
@viperzero2594,0,"I love when she says Jesus Christ cannot save me tonight, the symbolic value of that verse is that neither God nor Jesus Christ would be able to undo her love for her."
@Asia_thezepetogirl,0,Who is here bc if rod wave
@alwaysgeetoo,0,one of polar bear shared this song 🐻‍❄️
@everybodyknowsme,0,my kind of love.
@saptarshipaik5499,0,"Me and her in my dreams,nvm I know I&#39;ll never have this but oh I so yearn for it."
@ngandiep2577,0,"Whenever I hear this song, I can&#39;t help but fantasize about embarking on a never-ending, aimless and non-destinated road trip to get away from it all"
@Bulldogs117,0,This song helps get me out of bed every morning right now
@learninglover286,0,Love
@avirajvidhate7910,0,can someone tell what happens in the end ???
@MisingHome98,0,"2024 now, and here I am"
